Title,Body,Labels
12. [UI/UX] Crashes: grouping + versions + affected devices + drilldowns,"UI Requirements
- Crash groups list: message/fingerprint, count, affected versions, first/last seen
- Filters: version, platform, time range, device, country
- Group detail: stacktrace, trends, impacted devices/sessions, related traces/logs
- “View raw” actions to underlying crash events

Performance Requirements
- Grouping uses aggregates; raw events only on drilldown","ui-ux,p2,seq-12,epic-runtime,crashes,aggregation"
13. [UI/UX] Sessions & Screen Flow: session list + timeline + funnels entry,"Scope
- Sessions list (raw) with filters: time range, device, version, entry/exit screen, duration, error count
- Session detail: screen timeline + correlated API traces/logs
- Provide drilldown links from dashboard drop-off/funnel insights

Performance Requirements
- Session list server paginated
- Timeline queries constrained by sessionId","ui-ux,p2,seq-13,epic-runtime,sessions,screen-flow,performance"
14. [UI/UX] Business Config: table + categories + approvals + audit timeline,"Scope
- Business Config keys list with inline edit (permission gated), categories, status enabled/disabled
- Change history timeline + approvals workflow entry (if enabled)
- Drilldown to usage analytics (aggregated reads)","ui-ux,p2,seq-14,epic-control,business-config"
15. [UI/UX] Localization Keys: table with inline edit + per-language quick view,"Consolidates previous UI-006.

Scope
- Keys list with: key, description, category, platform, updatedAt
- Inline edit for metadata; translation edit in drawer/modal per language
- Bulk import/export
- Search + filters (category/platform/missing translations)

Performance Requirements
- Server-side pagination; no loading all keys","ui-ux,p2,seq-15,epic-control,localization"
16. [UI/UX] Localization Statistics: coverage dashboard + missing keys drilldown,"Consolidates previous UI-007.

Scope
- Aggregated view: translation coverage by language, missing keys by category, recent updates
- Drilldown: open raw keys list filtered to missing translations

Acceptance Criteria
- Uses aggregate queries / views only","ui-ux,p2,seq-16,epic-dashboard,localization,aggregation"
17. [UI/UX] Builds / Versioning: builds list + snapshots + change log,"Scope
- Builds list (preview/production), active indicator
- Build detail: business config snapshot + localization snapshot + change log (BuildChangeLog)
- Actions: promote preview->production, compare builds

Performance Requirements
- Snapshot loaded on demand; summary counts in list","ui-ux,p2,seq-17,epic-control,builds"
18. [UI/UX] Alerts Center: API Alerts + Config Alerts + events + acknowledgement workflow,"Scope
- Unified Alerts page: API alerts + Config alerts + events feed
- Filters: severity, status, time range, endpoint/config key
- Event detail: link to raw traces/logs/live debug when device is available
- Acknowledge + notes

Acceptance Criteria
- Alert event drilldown uses Data UX Contract","ui-ux,p2,seq-18,epic-operate,alerts"
19. [UI/UX] SDK Settings: performance + privacy tabs (validation + preview),"Consolidates previous UI-008.

Scope
- Settings sections: batching/flush interval/queue sizes, masking rules, sensitive field patterns, min log level
- Validation and preview: show what will be masked
- Save confirmation and audit trail entry

Acceptance Criteria
- Includes guidance text and safe defaults","ui-ux,p2,seq-19,epic-developer,sdk-settings,privacy,performance"
20. [UI/UX] Project Settings: rename + API key rotate + delete project (danger zone),"Consolidates previous UI-010 + UI-009 (danger actions).

Scope
- Project Settings: rename, environment, API keys rotate (permission gated)
- Danger Zone: delete project, purge data, reset keys (multi-confirmation)
- Audit log entry on each action

Acceptance Criteria
- Confirm modals, typed confirmation, re-auth requirement optional","ui-ux,p2,seq-20,epic-organization,security,danger-zone,audit"
21. [UI/UX] Org Analytics (multi-project): aggregated dashboard + drilldowns,"Consolidates previous UI-002.

Scope
- Organization-level analytics across projects:
  - total devices/sessions/requests/errors/cost trends
  - top projects by errors/cost
- Drilldown opens specific project raw views with filters

Acceptance Criteria
- Aggregated only (no raw scans)","ui-ux,p3,seq-21,epic-dashboard,org-analytics,aggregation"
22. [DATA] Aggregation Layer v1: rollups/materialized views for dashboard KPIs,"Goal
- Make dashboards fast and predictable by reading from aggregates, not raw events.

Scope (initial rollups)
- Per project + time bucket (hour/day):
  - active devices
  - sessions count
  - api requests count
  - error count / error rate
  - latency percentiles (p95/p99) if available
  - crash count
  - cost sum (from ApiTrace.cost)
- Provide query APIs to fetch dashboard tiles and trends

Acceptance Criteria
- Dashboard queries never scan ApiTrace/Log tables for charts
- Drilldown links route to raw views with filters prefilled","data,aggregation,p1,seq-22,epic-aggregation,ui-ux"
23. [DATA] Funnel/Drop-off Aggregations: session screen-flow derived metrics,"Goal
- Support drop-off analytics without heavy raw scans.

Scope
- Build funnel metrics from Session.screenFlow (or derived events):
  - step counts, drop-off %, time between steps
- Provide drilldown mapping to raw sessions filtered by step/screen/time

Acceptance Criteria
- Funnel charts use aggregates; raw sessions only on drilldown","data,aggregation,p2,seq-23,epic-aggregation,ui-ux"
24. [DATA] “Recent Raw” optimized queries for Live Debug (fast by design),"Goal
- Make Live Debug safe/fast under load.

Scope
- Query patterns constrained by:
  - projectId + deviceId + timestamp range (15m/1h/24h max)
- Add or validate indexes:
  - ApiTrace(projectId, deviceId, timestamp desc)
  - Log(projectId, deviceId, timestamp desc)
  - Crash(projectId, deviceId, timestamp desc)
- Optional: separate storage policy/retention for raw tables

Acceptance Criteria
- Live Debug uses since=lastTimestamp to fetch deltas","data,performance,p1,seq-24,epic-aggregation,ui-ux"
