Title,Body,Labels
[DATA] Local: Step 11 - Test Redis connection and worker,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-11

**Objective**:
Test complete local setup: Redis → Worker → Database.

**Tasks**:
- Start Redis container
- Verify Redis connection
- Start worker process
- Manually enqueue test job
- Verify worker processes job
- Verify aggregates inserted into database
- Test error scenarios

**Acceptance Criteria**:
- Redis accessible
- Worker connects to Redis and Database
- Worker processes jobs successfully
- Aggregates appear in database
- Error handling works","data,aggregation,local,p1,seq-agg-local-11,testing"
[DATA] Local: Step 12 - Test cron scheduler end-to-end,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-12

**Objective**:
Test complete flow: Cron → Enqueue → Queue → Worker → Database.

**Tasks**:
- Start Redis container
- Start worker process
- Start cron scheduler
- Wait for scheduled execution (or trigger manually)
- Verify jobs enqueued
- Verify jobs processed
- Verify aggregates created
- Test with multiple projects

**Acceptance Criteria**:
- Complete flow works end-to-end
- Jobs enqueued automatically
- Jobs processed by worker
- Aggregates created correctly
- Multiple projects handled correctly","data,aggregation,local,p1,seq-agg-local-12,testing"
[DATA] Production: Step 1 - Set up Upstash Redis (serverless queue),"**Environment**: Production (Vercel)
**Priority**: P1
**Sequence**: AGG-PROD-01

**Objective**:
Set up Upstash Redis for serverless queue in production.

**Tasks**:
- Create Upstash Redis instance
- Get connection credentials (URL, token)
- Add environment variables to Vercel
- Test connection from Vercel functions
- Document connection setup

**Acceptance Criteria**:
- Upstash Redis instance created
- Environment variables configured in Vercel
- Connection test successful
- Documentation updated","data,aggregation,production,p1,seq-agg-prod-01,infrastructure,vercel"
[DATA] Production: Step 2 - Create Vercel Cron job (enqueue),"**Environment**: Production (Vercel)
**Priority**: P1
**Sequence**: AGG-PROD-02

**Objective**:
Create Vercel Cron job that enqueues aggregation jobs hourly.

**Tasks**:
- Create `api/cron/aggregate-hourly/route.ts`
- Configure vercel.json cron schedule (every hour)
- Implement enqueue logic using Upstash Queue
- Add error handling and logging
- Add authentication/authorization check

**Acceptance Criteria**:
- Cron job runs every hour
- Successfully enqueues jobs to Upstash
- Logs execution in Vercel logs
- Handles errors gracefully
- Only runs for authorized requests","data,aggregation,production,p1,seq-agg-prod-02,vercel,cron"
[DATA] Production: Step 3 - Set up external worker service (Railway/Render),"**Environment**: Production (External Service)
**Priority**: P1
**Sequence**: AGG-PROD-03

**Objective**:
Deploy worker process to external service (Railway or Render) to process jobs.

**Tasks**:
- Choose service (Railway or Render)
- Create new service/project
- Configure environment variables (DATABASE_URL, REDIS_URL)
- Deploy worker code
- Set up health checks
- Configure auto-restart on failure
- Set up monitoring/logging

**Acceptance Criteria**:
- Worker deployed and running
- Connects to Upstash Redis
- Connects to production database
- Processes jobs successfully
- Health checks configured
- Logs visible in service dashboard","data,aggregation,production,p1,seq-agg-prod-03,infrastructure,worker"
[DATA] Production: Step 4 - Create production queue setup (Upstash),"**Environment**: Production (Vercel + External Worker)
**Priority**: P1
**Sequence**: AGG-PROD-04

**Objective**:
Create queue setup that works with Upstash Redis in production.

**Tasks**:
- Update `lib/aggregation/queue.ts` to support Upstash
- Use `@upstash/redis` or `ioredis` with Upstash URL
- Handle both local (Docker) and production (Upstash) environments
- Add connection retry logic
- Test with Upstash

**Acceptance Criteria**:
- Queue works with Upstash Redis
- Environment detection (local vs production)
- Connection retry on failure
- Works in both Vercel functions and external worker","data,aggregation,production,p1,seq-agg-prod-04,queue,upstash"
[DATA] Production: Step 5 - Update worker for production (Upstash + Production DB),"**Environment**: Production (External Worker)
**Priority**: P1
**Sequence**: AGG-PROD-05

**Objective**:
Update worker process to work with Upstash Redis and production database.

**Tasks**:
- Update worker to use Upstash Redis connection
- Update worker to use production DATABASE_URL
- Add production-specific error handling
- Add monitoring/metrics (optional)
- Test with production environment

**Acceptance Criteria**:
- Worker connects to Upstash Redis
- Worker connects to production database
- Processes jobs correctly
- Error handling works
- Logs properly formatted","data,aggregation,production,p1,seq-agg-prod-05,worker"
[DATA] Production: Step 6 - Test production aggregation end-to-end,"**Environment**: Production
**Priority**: P1
**Sequence**: AGG-PROD-06

**Objective**:
Test complete production flow: Vercel Cron → Upstash Queue → External Worker → Production DB.

**Tasks**:
- Trigger Vercel Cron manually (or wait for schedule)
- Verify jobs enqueued in Upstash
- Verify worker picks up jobs
- Verify worker processes jobs
- Verify aggregates created in production DB
- Monitor for errors
- Test with real production data

**Acceptance Criteria**:
- Complete production flow works
- Jobs enqueued by Vercel Cron
- Worker processes jobs successfully
- Aggregates created in production database
- No errors in logs
- Performance acceptable","data,aggregation,production,p1,seq-agg-prod-06,testing"
[DATA] Database: Create aggregate table schemas (Prisma models),"**Environment**: All
**Priority**: P0
**Sequence**: AGG-DB-01

**Objective**:
Create Prisma schema for aggregate tables based on UI requirements.

**Tasks**:
- Review UI design requirements
- Design aggregate table schemas (ApiTraceAggregate, LogAggregate, etc.)
- Create Prisma models
- Add indexes for performance
- Add relationships to Project
- Create migration file

**Acceptance Criteria**:
- Prisma models created
- Indexes defined
- Relationships correct
- Migration file created
- Schema matches UI requirements","data,aggregation,database,p0,seq-agg-db-01,schema,prisma"
[DATA] Database: Create ProjectAggregationState table,"**Environment**: All
**Priority**: P1
**Sequence**: AGG-DB-02

**Objective**:
Create table to track last processed time for each project (incremental aggregation).

**Tasks**:
- Create Prisma model for ProjectAggregationState
- Fields: projectId, lastHourlyAgg, lastDailyAgg, updatedAt
- Add unique constraint on projectId
- Create migration

**Acceptance Criteria**:
- Model created
- Migration applied
- Unique constraint works
- Can track last processed times","data,aggregation,database,p1,seq-agg-db-02,schema,prisma"
[DATA] Database: Apply migrations to local and production,"**Environment**: All
**Priority**: P1
**Sequence**: AGG-DB-03

**Objective**:
Apply aggregate table migrations to both local and production databases.

**Tasks**:
- Test migration locally
- Apply migration to local database
- Create production migration script
- Apply migration to production database
- Verify tables created correctly
- Verify indexes created

**Acceptance Criteria**:
- Migrations applied successfully
- Tables exist in both environments
- Indexes created
- No data loss
- Rollback tested","data,aggregation,database,p1,seq-agg-db-03,migration"
[DATA] Performance: Add indexes for raw table queries (Live Debug optimization),"**Environment**: All
**Priority**: P1
**Sequence**: AGG-PERF-01

**Objective**:
Add indexes to raw tables for fast Live Debug queries (projectId + deviceId + timestamp).

**Tasks**:
- Add composite index on ApiTrace(projectId, deviceId, timestamp DESC)
- Add composite index on Log(projectId, deviceId, timestamp DESC)
- Add composite index on Crash(projectId, deviceId, timestamp DESC)
- Create migration
- Test query performance

**Acceptance Criteria**:
- Indexes created
- Live Debug queries use indexes
- Query performance improved
- No negative impact on writes","data,aggregation,performance,p1,seq-agg-perf-01,indexes,database"
[DATA] Performance: Monitor aggregation performance and optimize,"**Environment**: Production
**Priority**: P2
**Sequence**: AGG-PERF-02

**Objective**:
Monitor aggregation job performance and optimize as needed.

**Tasks**:
- Add performance logging to worker
- Track job processing times
- Track batch processing times
- Identify bottlenecks
- Optimize slow queries
- Add monitoring dashboards (optional)

**Acceptance Criteria**:
- Performance metrics logged
- Bottlenecks identified
- Optimizations applied
- Performance acceptable for scale","data,aggregation,performance,p2,seq-agg-perf-02,monitoring,optimization"

